Team,Player,UTR,Lineup Pos
North Carolina,Reese Brantmeier,11.02,1
North Carolina,Fiona Crawley,11.26,2
North Carolina,Carson Tangulig,10.96,3
North Carolina,Abigail Forbes,10.73,4
North Carolina,Reilly Tran,10.60,5
North Carolina,Anika Yarlagadda,10.88,6
Texas A&M,Mary Stoiana,11.11,1
Texas A&M,Salma Ewing,10.55,2
Texas A&M,Mia Kupres,10.83,3
Texas A&M,Jayci Goldsmith,10.67,4
Texas A&M,Daria Smetannikov,10.41,5
Texas A&M,Jeanette Mireles,10.43,6
NC State,Diana Shnaider,11.97,1
NC State,Alana Smith,10.97,2
NC State,Amelia Rajecki,10.91,3
NC State,Abigail Rencheli,10.44,4
NC State,Sophie Abrams,10.54,5
NC State,Gina Marie Dittmann,10.47,6
Georgia,Lea Ma,11.14,1
Georgia,Darja Vidmanova,11.10,2
Georgia,Mell Reasco,10.76,3
Georgia,Anastasiya Lopata,10.58,4
Georgia,Meg Kowalski,10.71,5
Georgia,Guillermina Grant,10.36,6
Michigan,Karina Miller,10.69,1
Michigan,Jaeden Brown,10.70,2
Michigan,Julia Fliegner,10.69,3
Michigan,Andrea Cerdan,10.45,4
Michigan,Lily Jones,10.75,5
Michigan,Galateia Mesochoritou,10.48,6
Duke,Chloe Beck,11.01,1
Duke,Georgia Drummy,10.70,2
Duke,Emma Jackson,10.62,3
Duke,Ellie Coleman,10.46,4
Duke,Yulia Bryzgalova,10.26,5
Duke,Brianna Shvets,10.24,6
Stanford,Alexandra Yepifanova,10.90,1
Stanford,Connie Ma,10.97,2
Stanford,Angelica Blake,10.92,3
Stanford,Alexis Blokhina,10.71,4
Stanford,Valencia Xu,10.32,5
Stanford,Sara Choy,10.48,6
Texas,Nicole Khirin,10.90,1
Texas,Charlotte Chavatipon,10.81,2
Texas,Sabina Zeynalova,10.83,3
Texas,Taisya Pachkaleva,10.59,4
Texas,Nicole Rivkin,10.18,5
Texas,Malaika Rapolu,10.53,6
Pepperdine,Lisa Zaar,11.19,1
Pepperdine,Savannah Broadus,11.07,2
Pepperdine,Janice Tjen,11.26,3
Pepperdine,Bunyawi Thamchaiwat,10.40,4
Pepperdine,Nikki Redelijk,10.21,5
Pepperdine,Anna Campana,10.10,6
Ohio State,Sydni Ratliff,10.69,1
Ohio State,Irina Cantos Siemers,10.66,2
Ohio State,Isabelle Boulais,10.37,3
Ohio State,Lucia Marzal,10.32,4
Ohio State,Shelly Bereznyak,10.69,5
Ohio State,Danielle Wilson,9.86,6
Iowa State,Thasaporn Naklo,10.66,1
Iowa State,Oby Ange Kajuru,10.73,2
Iowa State,Miska Kadleckova,10.64,3
Iowa State,Anna Supapitch Kuearum,10.30,4
Iowa State,Sofia Cabezas,10.24,5
Iowa State,Chie Kezuka,9.96,6
Virginia,Julia Adams,10.38,1
Virginia,Natasha Subhash,10.68,2
Virginia,Annabelle Xu,10.81,3
Virginia,Hibah Shaikh,10.57,4
Virginia,Sara Ziodato,10.46,5
Virginia,Melodie Collard,10.45,6
Oklahoma,Layne Sleeth,10.69,1
Oklahoma,Dana Guzman,10.74,2
Oklahoma,Carmen Corley,10.56,3
Oklahoma,Alexandra Pisareva,10.45,4
Oklahoma,Julia Garcia Ruiz,10.45,5
Oklahoma,Emma Staker,10.21,6
Miami (FL),Alexa Noel,11.20,1
Miami (FL),Daevenia Achong,10.47,2
Miami (FL),Isabella Pfennig,10.43,3
Miami (FL),Audrey Boch-Collins,10.36,4
